run_id,arm,task_id,labels
Octopus__KOz5MBCB__NONE__0,NONE,Octopus__KOz5MBCB,gave_up
VASP__GIgds3tn__BARE__0,BARE,VASP__GIgds3tn,wrong_parser
VASP__GIgds3tn__COMPLEXITY__0,COMPLEXITY,VASP__GIgds3tn,
VASP__GIgds3tn__DOCS__0,DOCS,VASP__GIgds3tn,wrong_parser
VASP__GIgds3tn__FULL__0,FULL,VASP__GIgds3tn,wrong_parser
VASP__GIgds3tn__NONE__0,NONE,VASP__GIgds3tn,
VASP__QTNlDyNK__BARE__0,BARE,VASP__QTNlDyNK,wrong_parser
VASP__QTNlDyNK__COMPLEXITY__0,COMPLEXITY,VASP__QTNlDyNK,
VASP__QTNlDyNK__DOCS__0,DOCS,VASP__QTNlDyNK,wrong_parser
VASP__QTNlDyNK__FULL__0,FULL,VASP__QTNlDyNK,wrong_parser
VASP__QTNlDyNK__NONE__0,NONE,VASP__QTNlDyNK,
VASP___4eGoIDq__BARE__0,BARE,VASP___4eGoIDq,wrong_parser
VASP___4eGoIDq__COMPLEXITY__0,COMPLEXITY,VASP___4eGoIDq,
VASP___4eGoIDq__DOCS__0,DOCS,VASP___4eGoIDq,wrong_parser
VASP___4eGoIDq__FULL__0,FULL,VASP___4eGoIDq,wrong_parser
VASP___4eGoIDq__NONE__0,NONE,VASP___4eGoIDq,gave_up
VASP__yzVrn483__BARE__0,BARE,VASP__yzVrn483,wrong_parser
VASP__yzVrn483__COMPLEXITY__0,COMPLEXITY,VASP__yzVrn483,
VASP__yzVrn483__DOCS__0,DOCS,VASP__yzVrn483,wrong_parser
VASP__yzVrn483__FULL__0,FULL,VASP__yzVrn483,wrong_parser
VASP__yzVrn483__NONE__0,NONE,VASP__yzVrn483,
WIEN2k__5GwBxvrA__BARE__0,BARE,WIEN2k__5GwBxvrA,wrong_parser;silent_empty;gave_up
WIEN2k__5GwBxvrA__COMPLEXITY__0,COMPLEXITY,WIEN2k__5GwBxvrA,gave_up
WIEN2k__5GwBxvrA__DOCS__0,DOCS,WIEN2k__5GwBxvrA,wrong_parser;silent_empty;gave_up
WIEN2k__5GwBxvrA__FULL__0,FULL,WIEN2k__5GwBxvrA,gave_up
WIEN2k__5GwBxvrA__NONE__0,NONE,WIEN2k__5GwBxvrA,gave_up
exciting__-VzNnlku__BARE__0,BARE,exciting__-VzNnlku,wrong_parser;silent_empty;gave_up
exciting__-VzNnlku__COMPLEXITY__0,COMPLEXITY,exciting__-VzNnlku,gave_up
exciting__-VzNnlku__DOCS__0,DOCS,exciting__-VzNnlku,wrong_parser;silent_empty;gave_up
exciting__-VzNnlku__FULL__0,FULL,exciting__-VzNnlku,wrong_parser;silent_empty;gave_up
exciting__-VzNnlku__NONE__0,NONE,exciting__-VzNnlku,gave_up
